"run","random_seed","AverageAcceptLastRound"
120,20,0.875
122,22,0.9375
124,24,1.0
126,26,0.9375
128,28,0.9375
130,30,0.9375
132,32,0.9375
134,34,0.9375
136,36,0.9375
138,38,0.875
140,40,1.0
142,42,0.9375
144,44,1.0
146,46,1.0
148,48,1.0
150,50,1.0
152,52,0.9375
154,54,0.875
156,56,1.0
158,58,1.0
160,60,0.9375
162,62,1.0
164,64,0.875
166,66,1.0
168,68,0.875
170,70,0.9375
172,72,0.9375
174,74,1.0
176,76,0.9375
178,78,1.0
180,80,1.0
182,82,1.0
184,84,1.0
186,86,1.0
188,88,0.9375
190,90,0.9375
192,92,1.0
194,94,1.0
196,96,0.9375
198,98,1.0
200,100,1.0
202,2,1.0
204,4,1.0
206,6,0.9375
208,8,0.9375
210,10,1.0
212,12,0.9375
214,14,1.0
216,16,0.9375
218,18,0.8125
220,20,0.875
222,22,0.9375
224,24,1.0
226,26,0.9375
228,28,0.9375
230,30,0.9375
232,32,0.9375
234,34,0.9375
236,36,0.9375
238,38,0.875
240,40,1.0
242,42,0.9375
244,44,1.0
246,46,1.0
248,48,1.0
250,50,1.0
252,52,0.9375
254,54,0.875
256,56,1.0
258,58,1.0
260,60,0.9375
262,62,1.0
264,64,0.875
266,66,1.0
268,68,0.875
270,70,0.9375
272,72,0.9375
274,74,1.0
276,76,0.9375
278,78,1.0
280,80,1.0
282,82,1.0
284,84,1.0
286,86,1.0
288,88,0.9375
290,90,0.9375
292,92,1.0
294,94,1.0
296,96,0.9375
298,98,1.0
300,100,1.0
302,2,1.0
304,4,1.0
306,6,0.9375
308,8,0.9375
310,10,1.0
312,12,0.9375
314,14,1.0
316,16,0.9375
318,18,0.8125
320,20,0.875
322,22,0.9375
324,24,1.0
326,26,0.9375
328,28,0.9375
330,30,0.9375
332,32,0.9375
334,34,0.9375
336,36,0.9375
338,38,0.875
340,40,1.0
342,42,0.9375
344,44,1.0
346,46,1.0
348,48,1.0
350,50,1.0
352,52,0.9375
354,54,0.875
356,56,1.0
358,58,1.0
360,60,0.9375
362,62,1.0
364,64,0.875
366,66,1.0
368,68,0.875
370,70,0.9375
372,72,0.9375
374,74,1.0
376,76,0.9375
378,78,1.0
380,80,1.0
382,82,1.0
384,84,1.0
386,86,1.0
388,88,0.9375
390,90,0.9375
392,92,1.0
394,94,1.0
396,96,0.9375
398,98,1.0
400,100,1.0
402,2,1.0
404,4,1.0
406,6,0.9375
408,8,0.9375
410,10,1.0
412,12,0.9375
414,14,1.0
416,16,0.9375
418,18,0.8125
420,20,0.875
422,22,0.9375
424,24,1.0
426,26,0.9375
428,28,0.9375
430,30,0.9375
432,32,0.9375
434,34,0.9375
436,36,0.9375
438,38,0.875
440,40,1.0
442,42,0.9375
444,44,1.0
446,46,1.0
448,48,1.0
450,50,1.0
452,52,0.9375
454,54,0.875
456,56,1.0
458,58,1.0
460,60,0.9375
462,62,1.0
464,64,0.875
466,66,1.0
468,68,0.875
470,70,0.9375
472,72,0.9375
474,74,1.0
476,76,0.9375
478,78,1.0
480,80,1.0
482,82,1.0
484,84,1.0
486,86,1.0
488,88,0.9375
490,90,0.9375
492,92,1.0
494,94,1.0
496,96,0.9375
498,98,1.0
500,100,1.0
502,2,1.0
504,4,1.0
506,6,0.9375
508,8,0.9375
510,10,1.0
512,12,0.9375
514,14,1.0
516,16,0.9375
518,18,0.8125
520,20,0.875
522,22,0.9375
524,24,1.0
526,26,0.9375
528,28,0.9375
530,30,0.9375
532,32,0.9375
534,34,0.9375
536,36,0.9375
538,38,0.875
540,40,1.0
542,42,0.9375
544,44,1.0
546,46,1.0
548,48,1.0
550,50,1.0
552,52,0.9375
554,54,0.875
556,56,1.0
558,58,1.0
560,60,0.9375
562,62,1.0
564,64,0.875
566,66,1.0
568,68,0.875
570,70,0.9375
572,72,0.9375
574,74,1.0
576,76,0.9375
578,78,1.0
580,80,1.0
582,82,1.0
584,84,1.0
586,86,1.0
588,88,0.9375
590,90,0.9375
592,92,1.0
594,94,1.0
596,96,0.9375
598,98,1.0
600,100,1.0
602,2,1.0
604,4,1.0
606,6,0.9375
608,8,0.9375
610,10,1.0
612,12,0.9375
614,14,1.0
616,16,0.9375
618,18,0.8125
620,20,0.875
622,22,0.9375
624,24,1.0
626,26,0.9375
628,28,0.9375
630,30,0.9375
632,32,0.9375
634,34,0.9375
636,36,0.9375
638,38,0.875
640,40,1.0
642,42,0.9375
644,44,1.0
646,46,1.0
648,48,1.0
650,50,1.0
652,52,0.9375
654,54,0.875
656,56,1.0
658,58,1.0
660,60,0.9375
662,62,1.0
664,64,0.875
666,66,1.0
668,68,0.875
670,70,0.9375
672,72,0.9375
674,74,1.0
676,76,0.9375
678,78,1.0
680,80,1.0
682,82,1.0
684,84,1.0
686,86,1.0
688,88,0.9375
690,90,0.9375
692,92,1.0
694,94,1.0
696,96,0.9375
698,98,1.0
700,100,1.0
702,2,1.0
704,4,1.0
706,6,0.9375
708,8,0.9375
710,10,1.0
712,12,0.9375
714,14,1.0
716,16,0.9375
718,18,0.8125
720,20,0.875
722,22,0.9375
724,24,1.0
726,26,0.9375
728,28,0.9375
730,30,0.9375
732,32,0.9375
734,34,0.9375
736,36,0.9375
738,38,0.875
740,40,1.0
742,42,0.9375
744,44,1.0
746,46,1.0
748,48,1.0
750,50,1.0
752,52,0.9375
754,54,0.875
756,56,1.0
758,58,1.0
760,60,0.9375
762,62,1.0
764,64,0.875
766,66,1.0
768,68,0.875
770,70,0.9375
772,72,0.9375
774,74,1.0
776,76,0.9375
778,78,1.0
780,80,1.0
782,82,1.0
784,84,1.0
786,86,1.0
788,88,0.9375
790,90,0.9375
792,92,1.0
794,94,1.0
796,96,0.9375
798,98,1.0
800,100,1.0
802,2,1.0
804,4,1.0
806,6,0.9375
808,8,0.9375
810,10,1.0
812,12,0.9375
814,14,1.0
816,16,0.9375
818,18,0.8125
820,20,0.875
822,22,0.9375
824,24,1.0
826,26,0.9375
828,28,0.9375
830,30,0.9375
832,32,0.9375
834,34,0.9375
836,36,0.9375
838,38,0.875
840,40,1.0
842,42,0.9375
844,44,1.0
846,46,1.0
848,48,1.0
850,50,1.0
852,52,0.9375
854,54,0.875
856,56,1.0
858,58,1.0
860,60,0.9375
862,62,1.0
864,64,0.875
866,66,1.0
868,68,0.875
870,70,0.9375
872,72,0.9375
874,74,1.0
876,76,0.9375
878,78,1.0
880,80,1.0
882,82,1.0
884,84,1.0
886,86,1.0
888,88,0.9375
890,90,0.9375
892,92,1.0
894,94,1.0
896,96,0.9375
898,98,1.0
900,100,1.0
902,2,1.0
904,4,1.0
906,6,0.9375
908,8,0.9375
910,10,1.0
912,12,0.9375
914,14,1.0
916,16,0.9375
918,18,0.8125
920,20,0.875
922,22,0.9375
924,24,1.0
926,26,0.9375
928,28,0.9375
930,30,0.9375
932,32,0.9375
934,34,0.9375
936,36,0.9375
938,38,0.875
940,40,1.0
942,42,0.9375
944,44,1.0
946,46,1.0
948,48,1.0
950,50,1.0
952,52,0.9375
954,54,0.875
956,56,1.0
958,58,1.0
960,60,0.9375
962,62,1.0
964,64,0.875
966,66,1.0
968,68,0.875
970,70,0.9375
972,72,0.9375
974,74,1.0
976,76,0.9375
978,78,1.0
980,80,1.0
982,82,1.0
984,84,1.0
986,86,1.0
988,88,0.9375
990,90,0.9375
992,92,1.0
994,94,1.0
996,96,0.9375
998,98,1.0
1000,100,1.0
