"run","initialStrength","dg","EndTime","initialActionNorm","normAgentCount","valueNormAgentCount","k","valueDifferenceMean","LHE:forceHumanAction","randomSeed","pieSize","selfTrAvgStrength","valueDifferenceSD","LHEAgentCount","selfEnAvgStrength","GUI","equalInitialQuality","valueAgentCount","initialAcceptRateNorm","agentCount","beta"
153,1.0,0.5,30,0,0,32,0.5,-0.55,"true",153,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
155,1.0,0.5,30,0,0,32,0.5,-0.55,"true",155,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
157,1.0,0.5,30,0,0,32,0.5,-0.55,"true",157,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
159,1.0,0.5,30,0,0,32,0.5,-0.55,"true",159,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
161,1.0,0.5,30,0,0,32,0.5,-0.55,"true",161,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
163,1.0,0.5,30,0,0,32,0.5,-0.55,"true",163,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
165,1.0,0.5,30,0,0,32,0.5,-0.55,"true",165,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
167,1.0,0.5,30,0,0,32,0.5,-0.55,"true",167,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
169,1.0,0.5,30,0,0,32,0.5,-0.55,"true",169,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
171,1.0,0.5,30,0,0,32,0.5,-0.55,"true",171,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
173,1.0,0.5,30,0,0,32,0.5,-0.55,"true",173,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
175,1.0,0.5,30,0,0,32,0.5,-0.55,"true",175,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
177,1.0,0.5,30,0,0,32,0.5,-0.55,"true",177,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
179,1.0,0.5,30,0,0,32,0.5,-0.55,"true",179,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
181,1.0,0.5,30,0,0,32,0.5,-0.55,"true",181,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
183,1.0,0.5,30,0,0,32,0.5,-0.55,"true",183,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
185,1.0,0.5,30,0,0,32,0.5,-0.55,"true",185,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
187,1.0,0.5,30,0,0,32,0.5,-0.55,"true",187,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
189,1.0,0.5,30,0,0,32,0.5,-0.55,"true",189,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
191,1.0,0.5,30,0,0,32,0.5,-0.55,"true",191,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
193,1.0,0.5,30,0,0,32,0.5,-0.55,"true",193,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
195,1.0,0.5,30,0,0,32,0.5,-0.55,"true",195,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
197,1.0,0.5,30,0,0,32,0.5,-0.55,"true",197,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
199,1.0,0.5,30,0,0,32,0.5,-0.55,"true",199,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
201,1.0,0.5,30,0,0,32,0.5,-0.55,"true",201,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
203,1.0,0.5,30,0,0,32,0.5,-0.55,"true",203,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
205,1.0,0.5,30,0,0,32,0.5,-0.55,"true",205,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
207,1.0,0.5,30,0,0,32,0.5,-0.55,"true",207,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
209,1.0,0.5,30,0,0,32,0.5,-0.55,"true",209,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
211,1.0,0.5,30,0,0,32,0.5,-0.55,"true",211,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
213,1.0,0.5,30,0,0,32,0.5,-0.55,"true",213,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
215,1.0,0.5,30,0,0,32,0.5,-0.55,"true",215,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
217,1.0,0.5,30,0,0,32,0.5,-0.55,"true",217,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
219,1.0,0.5,30,0,0,32,0.5,-0.55,"true",219,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
221,1.0,0.5,30,0,0,32,0.5,-0.55,"true",221,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
223,1.0,0.5,30,0,0,32,0.5,-0.55,"true",223,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
225,1.0,0.5,30,0,0,32,0.5,-0.55,"true",225,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
227,1.0,0.5,30,0,0,32,0.5,-0.55,"true",227,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
229,1.0,0.5,30,0,0,32,0.5,-0.55,"true",229,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
231,1.0,0.5,30,0,0,32,0.5,-0.55,"true",231,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
233,1.0,0.5,30,0,0,32,0.5,-0.55,"true",233,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
235,1.0,0.5,30,0,0,32,0.5,-0.55,"true",235,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
237,1.0,0.5,30,0,0,32,0.5,-0.55,"true",237,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
239,1.0,0.5,30,0,0,32,0.5,-0.55,"true",239,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
241,1.0,0.5,30,0,0,32,0.5,-0.55,"true",241,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
243,1.0,0.5,30,0,0,32,0.5,-0.55,"true",243,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
245,1.0,0.5,30,0,0,32,0.5,-0.55,"true",245,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
247,1.0,0.5,30,0,0,32,0.5,-0.55,"true",247,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
249,1.0,0.5,30,0,0,32,0.5,-0.55,"true",249,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
251,1.0,0.5,30,0,0,32,0.5,-0.55,"true",251,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
253,1.0,0.5,30,0,0,32,0.5,-0.55,"true",253,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
255,1.0,0.5,30,0,0,32,0.5,-0.55,"true",255,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
257,1.0,0.5,30,0,0,32,0.5,-0.55,"true",257,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
259,1.0,0.5,30,0,0,32,0.5,-0.55,"true",259,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
261,1.0,0.5,30,0,0,32,0.5,-0.55,"true",261,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
263,1.0,0.5,30,0,0,32,0.5,-0.55,"true",263,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
265,1.0,0.5,30,0,0,32,0.5,-0.55,"true",265,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
267,1.0,0.5,30,0,0,32,0.5,-0.55,"true",267,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
269,1.0,0.5,30,0,0,32,0.5,-0.55,"true",269,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
271,1.0,0.5,30,0,0,32,0.5,-0.55,"true",271,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
273,1.0,0.5,30,0,0,32,0.5,-0.55,"true",273,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
275,1.0,0.5,30,0,0,32,0.5,-0.55,"true",275,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
277,1.0,0.5,30,0,0,32,0.5,-0.55,"true",277,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
279,1.0,0.5,30,0,0,32,0.5,-0.55,"true",279,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
281,1.0,0.5,30,0,0,32,0.5,-0.55,"true",281,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
283,1.0,0.5,30,0,0,32,0.5,-0.55,"true",283,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
285,1.0,0.5,30,0,0,32,0.5,-0.55,"true",285,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
287,1.0,0.5,30,0,0,32,0.5,-0.55,"true",287,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
289,1.0,0.5,30,0,0,32,0.5,-0.55,"true",289,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
291,1.0,0.5,30,0,0,32,0.5,-0.55,"true",291,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
293,1.0,0.5,30,0,0,32,0.5,-0.55,"true",293,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
295,1.0,0.5,30,0,0,32,0.5,-0.55,"true",295,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
297,1.0,0.5,30,0,0,32,0.5,-0.55,"true",297,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
299,1.0,0.5,30,0,0,32,0.5,-0.55,"true",299,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
301,1.0,0.5,30,0,0,32,0.5,-0.55,"true",301,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
303,1.0,0.5,30,0,0,32,0.5,-0.55,"true",303,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
305,1.0,0.5,30,0,0,32,0.5,-0.55,"true",305,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
307,1.0,0.5,30,0,0,32,0.5,-0.55,"true",307,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
309,1.0,0.5,30,0,0,32,0.5,-0.55,"true",309,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
311,1.0,0.5,30,0,0,32,0.5,-0.55,"true",311,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
313,1.0,0.5,30,0,0,32,0.5,-0.55,"true",313,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
315,1.0,0.5,30,0,0,32,0.5,-0.55,"true",315,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
317,1.0,0.5,30,0,0,32,0.5,-0.55,"true",317,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
319,1.0,0.5,30,0,0,32,0.5,-0.55,"true",319,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
321,1.0,0.5,30,0,0,32,0.5,-0.55,"true",321,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
323,1.0,0.5,30,0,0,32,0.5,-0.55,"true",323,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
325,1.0,0.5,30,0,0,32,0.5,-0.55,"true",325,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
327,1.0,0.5,30,0,0,32,0.5,-0.55,"true",327,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
329,1.0,0.5,30,0,0,32,0.5,-0.55,"true",329,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
331,1.0,0.5,30,0,0,32,0.5,-0.55,"true",331,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
333,1.0,0.5,30,0,0,32,0.5,-0.55,"true",333,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
335,1.0,0.5,30,0,0,32,0.5,-0.55,"true",335,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
337,1.0,0.5,30,0,0,32,0.5,-0.55,"true",337,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
339,1.0,0.5,30,0,0,32,0.5,-0.55,"true",339,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
341,1.0,0.5,30,0,0,32,0.5,-0.55,"true",341,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
343,1.0,0.5,30,0,0,32,0.5,-0.55,"true",343,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
345,1.0,0.5,30,0,0,32,0.5,-0.55,"true",345,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
347,1.0,0.5,30,0,0,32,0.5,-0.55,"true",347,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
349,1.0,0.5,30,0,0,32,0.5,-0.55,"true",349,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
351,1.0,0.5,30,0,0,32,0.5,-0.55,"true",351,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
353,1.0,0.5,30,0,0,32,0.5,-0.55,"true",353,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
355,1.0,0.5,30,0,0,32,0.5,-0.55,"true",355,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
357,1.0,0.5,30,0,0,32,0.5,-0.55,"true",357,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
359,1.0,0.5,30,0,0,32,0.5,-0.55,"true",359,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
361,1.0,0.5,30,0,0,32,0.5,-0.55,"true",361,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
363,1.0,0.5,30,0,0,32,0.5,-0.55,"true",363,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
365,1.0,0.5,30,0,0,32,0.5,-0.55,"true",365,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
367,1.0,0.5,30,0,0,32,0.5,-0.55,"true",367,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
369,1.0,0.5,30,0,0,32,0.5,-0.55,"true",369,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
371,1.0,0.5,30,0,0,32,0.5,-0.55,"true",371,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
373,1.0,0.5,30,0,0,32,0.5,-0.55,"true",373,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
375,1.0,0.5,30,0,0,32,0.5,-0.55,"true",375,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
377,1.0,0.5,30,0,0,32,0.5,-0.55,"true",377,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
379,1.0,0.5,30,0,0,32,0.5,-0.55,"true",379,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
381,1.0,0.5,30,0,0,32,0.5,-0.55,"true",381,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
383,1.0,0.5,30,0,0,32,0.5,-0.55,"true",383,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
385,1.0,0.5,30,0,0,32,0.5,-0.55,"true",385,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
387,1.0,0.5,30,0,0,32,0.5,-0.55,"true",387,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
389,1.0,0.5,30,0,0,32,0.5,-0.55,"true",389,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
391,1.0,0.5,30,0,0,32,0.5,-0.55,"true",391,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
393,1.0,0.5,30,0,0,32,0.5,-0.55,"true",393,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
395,1.0,0.5,30,0,0,32,0.5,-0.55,"true",395,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
397,1.0,0.5,30,0,0,32,0.5,-0.55,"true",397,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
399,1.0,0.5,30,0,0,32,0.5,-0.55,"true",399,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
401,1.0,0.5,30,0,0,32,0.5,-0.55,"true",401,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
403,1.0,0.5,30,0,0,32,0.5,-0.55,"true",403,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
405,1.0,0.5,30,0,0,32,0.5,-0.55,"true",405,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
407,1.0,0.5,30,0,0,32,0.5,-0.55,"true",407,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
409,1.0,0.5,30,0,0,32,0.5,-0.55,"true",409,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
411,1.0,0.5,30,0,0,32,0.5,-0.55,"true",411,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
413,1.0,0.5,30,0,0,32,0.5,-0.55,"true",413,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
415,1.0,0.5,30,0,0,32,0.5,-0.55,"true",415,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
417,1.0,0.5,30,0,0,32,0.5,-0.55,"true",417,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
419,1.0,0.5,30,0,0,32,0.5,-0.55,"true",419,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
421,1.0,0.5,30,0,0,32,0.5,-0.55,"true",421,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
